,index,name of standard cell,number of fanout
0,7930,sky130_fd_sc_hd__dfxtp_2 U7768,111
1,7931,sky130_fd_sc_hd__dfxtp_2 U7769,111
2,7933,sky130_fd_sc_hd__dfxtp_2 U7770,68
3,7934,sky130_fd_sc_hd__dfxtp_2 U7771,66
4,7935,sky130_fd_sc_hd__dfxtp_2 U7772,65
5,7936,sky130_fd_sc_hd__dfxtp_2 U7773,63
6,7937,sky130_fd_sc_hd__dfxtp_2 U7774,61
7,7938,sky130_fd_sc_hd__dfxtp_2 U7775,59
8,7939,sky130_fd_sc_hd__dfxtp_2 U7776,57
9,7940,sky130_fd_sc_hd__dfxtp_2 U7777,55
10,7941,sky130_fd_sc_hd__dfxtp_2 U7778,53
11,7942,sky130_fd_sc_hd__dfxtp_2 U7779,51
12,7944,sky130_fd_sc_hd__dfxtp_2 U7780,49
13,7945,sky130_fd_sc_hd__dfxtp_2 U7781,47
14,7946,sky130_fd_sc_hd__dfxtp_2 U7782,45
15,7947,sky130_fd_sc_hd__dfxtp_2 U7783,43
16,7948,sky130_fd_sc_hd__dfxtp_2 U7784,41
17,7949,sky130_fd_sc_hd__dfxtp_2 U7785,39
18,7950,sky130_fd_sc_hd__dfxtp_2 U7786,37
19,7951,sky130_fd_sc_hd__dfxtp_2 U7787,35
20,7952,sky130_fd_sc_hd__dfxtp_2 U7788,33
21,7953,sky130_fd_sc_hd__dfxtp_2 U7789,31
22,7955,sky130_fd_sc_hd__dfxtp_2 U7790,29
23,7956,sky130_fd_sc_hd__dfxtp_2 U7791,27
24,7957,sky130_fd_sc_hd__dfxtp_2 U7792,25
25,7958,sky130_fd_sc_hd__dfxtp_2 U7793,23
26,7959,sky130_fd_sc_hd__dfxtp_2 U7794,21
27,7960,sky130_fd_sc_hd__dfxtp_2 U7795,19
28,7961,sky130_fd_sc_hd__dfxtp_2 U7796,17
29,7962,sky130_fd_sc_hd__dfxtp_2 U7797,15
30,7963,sky130_fd_sc_hd__dfxtp_2 U7798,13
31,7964,sky130_fd_sc_hd__dfxtp_2 U7799,4
32,7967,sky130_fd_sc_hd__dfxtp_2 U7800,4
33,7968,sky130_fd_sc_hd__dfxtp_2 U7801,4
34,7969,sky130_fd_sc_hd__dfxtp_2 U7802,4
35,7970,sky130_fd_sc_hd__dfxtp_2 U7803,4
36,7971,sky130_fd_sc_hd__dfxtp_2 U7804,3
37,7972,sky130_fd_sc_hd__dfxtp_2 U7805,3
38,7973,sky130_fd_sc_hd__dfxtp_2 U7806,3
39,7974,sky130_fd_sc_hd__dfxtp_2 U7807,3
40,7975,sky130_fd_sc_hd__dfxtp_2 U7808,3
