,index,name of standard cell,number of fanout
0,231,sky130_fd_sc_hd__dfstp_2 U267,7
1,232,sky130_fd_sc_hd__dfrtp_2 U268,19
2,233,sky130_fd_sc_hd__dfrtp_2 U269,2
3,235,sky130_fd_sc_hd__dfrtp_2 U270,5
4,236,sky130_fd_sc_hd__dfrtp_2 U271,21
5,237,sky130_fd_sc_hd__dfrtp_2 U272,11
6,238,sky130_fd_sc_hd__dfrtp_2 U273,13
7,239,sky130_fd_sc_hd__dfrtp_2 U274,12
8,240,sky130_fd_sc_hd__dfrtp_2 U275,12
9,241,sky130_fd_sc_hd__dfrtp_2 U276,14
10,242,sky130_fd_sc_hd__dfxtp_2 U277,12
11,243,sky130_fd_sc_hd__dfxtp_2 U278,12
12,244,sky130_fd_sc_hd__dfxtp_2 U279,12
13,246,sky130_fd_sc_hd__dfxtp_2 U280,12
14,247,sky130_fd_sc_hd__dfxtp_2 U281,12
15,248,sky130_fd_sc_hd__dfxtp_2 U282,12
16,249,sky130_fd_sc_hd__dfxtp_2 U283,12
17,250,sky130_fd_sc_hd__dfxtp_2 U284,3
18,251,sky130_fd_sc_hd__dfrtp_2 U285,1
19,252,sky130_fd_sc_hd__dfrtp_2 U286,1
20,253,sky130_fd_sc_hd__dfrtp_2 U287,1
21,254,sky130_fd_sc_hd__dfrtp_2 U288,1
22,255,sky130_fd_sc_hd__dfrtp_2 U289,1
23,257,sky130_fd_sc_hd__dfrtp_2 U290,0
24,258,sky130_fd_sc_hd__dfrtp_2 U291,0
25,259,sky130_fd_sc_hd__dfrtp_2 U292,1
26,260,sky130_fd_sc_hd__dfrtp_2 U293,24
27,261,sky130_fd_sc_hd__dfxtp_2 U294,2
28,262,sky130_fd_sc_hd__dfxtp_2 U295,2
29,263,sky130_fd_sc_hd__dfxtp_2 U296,2
30,264,sky130_fd_sc_hd__dfxtp_2 U297,2
31,265,sky130_fd_sc_hd__dfxtp_2 U298,2
32,266,sky130_fd_sc_hd__dfxtp_2 U299,2
33,269,sky130_fd_sc_hd__dfxtp_2 U300,2
34,270,sky130_fd_sc_hd__dfxtp_2 U301,2
35,271,sky130_fd_sc_hd__dfrtp_2 U302,15
36,272,sky130_fd_sc_hd__dfrtp_2 U303,15
37,273,sky130_fd_sc_hd__dfrtp_2 U304,15
38,274,sky130_fd_sc_hd__dfrtp_2 U305,15
39,275,sky130_fd_sc_hd__dfrtp_2 U306,15
40,276,sky130_fd_sc_hd__dfrtp_2 U307,15
41,277,sky130_fd_sc_hd__dfrtp_2 U308,15
42,278,sky130_fd_sc_hd__dfrtp_2 U309,1
43,280,sky130_fd_sc_hd__dfrtp_2 U310,2
44,281,sky130_fd_sc_hd__dfxtp_2 U311,1
45,282,sky130_fd_sc_hd__dfxtp_2 U312,1
46,283,sky130_fd_sc_hd__dfxtp_2 U313,1
47,284,sky130_fd_sc_hd__dfxtp_2 U314,1
48,285,sky130_fd_sc_hd__dfxtp_2 U315,1
49,286,sky130_fd_sc_hd__dfxtp_2 U316,1
50,287,sky130_fd_sc_hd__dfxtp_2 U317,1
51,288,sky130_fd_sc_hd__dfxtp_2 U318,1
52,289,sky130_fd_sc_hd__dfxtp_2 U319,3
53,291,sky130_fd_sc_hd__dfxtp_2 U320,3
54,292,sky130_fd_sc_hd__dfxtp_2 U321,3
55,293,sky130_fd_sc_hd__dfxtp_2 U322,2
56,294,sky130_fd_sc_hd__dfxtp_2 U323,2
57,295,sky130_fd_sc_hd__dfxtp_2 U324,2
58,296,sky130_fd_sc_hd__dfxtp_2 U325,2
59,297,sky130_fd_sc_hd__dfxtp_2 U326,2
60,298,sky130_fd_sc_hd__dfxtp_2 U327,2
61,299,sky130_fd_sc_hd__dfxtp_2 U328,16
62,400,sky130_fd_sc_hd__dfxtp_2 U13,17
63,401,sky130_fd_sc_hd__dfxtp_2 U14,17
64,402,sky130_fd_sc_hd__dfxtp_2 U15,17
65,421,sky130_fd_sc_hd__dfrtp_2 U6,95
66,422,sky130_fd_sc_hd__dfrtp_2 U7,94
67,423,sky130_fd_sc_hd__dfrtp_2 U8,2
68,430,sky130_fd_sc_hd__dfxtp_2 U3,26
69,431,sky130_fd_sc_hd__dfxtp_2 U4,2
70,432,sky130_fd_sc_hd__dfxtp_2 U5,1
71,448,sky130_fd_sc_hd__dfrtp_2 U18,80
72,449,sky130_fd_sc_hd__dfrtp_2 U19,80
73,451,sky130_fd_sc_hd__dfrtp_2 U20,80
74,452,sky130_fd_sc_hd__dfrtp_2 U21,80
75,453,sky130_fd_sc_hd__dfrtp_2 U22,80
76,454,sky130_fd_sc_hd__dfrtp_2 U23,80
77,455,sky130_fd_sc_hd__dfrtp_2 U24,79
78,471,sky130_fd_sc_hd__dfxtp_2 U4,17
79,479,sky130_fd_sc_hd__dfrtp_2 U100,19
80,480,sky130_fd_sc_hd__dfrtp_2 U101,19
81,481,sky130_fd_sc_hd__dfrtp_2 U102,19
82,482,sky130_fd_sc_hd__dfrtp_2 U103,19
83,483,sky130_fd_sc_hd__dfrtp_2 U104,19
84,484,sky130_fd_sc_hd__dfrtp_2 U105,19
85,485,sky130_fd_sc_hd__dfrtp_2 U106,19
86,486,sky130_fd_sc_hd__dfrtp_2 U107,19
87,487,sky130_fd_sc_hd__dfrtp_2 U108,19
88,488,sky130_fd_sc_hd__dfrtp_2 U109,19
89,577,sky130_fd_sc_hd__dfrtp_2 U91,19
90,578,sky130_fd_sc_hd__dfrtp_2 U92,19
91,579,sky130_fd_sc_hd__dfrtp_2 U93,19
92,580,sky130_fd_sc_hd__dfrtp_2 U94,19
93,581,sky130_fd_sc_hd__dfrtp_2 U95,19
94,582,sky130_fd_sc_hd__dfrtp_2 U96,19
95,583,sky130_fd_sc_hd__dfrtp_2 U97,19
96,584,sky130_fd_sc_hd__dfrtp_2 U98,19
