,index,name of standard cell,number of fanout
0,642,sky130_fd_sc_hd__dfrtp_2 U629,29
1,644,sky130_fd_sc_hd__dfrtp_2 U630,29
2,645,sky130_fd_sc_hd__dfrtp_2 U631,29
3,646,sky130_fd_sc_hd__dfrtp_2 U632,29
4,647,sky130_fd_sc_hd__dfrtp_2 U633,29
5,648,sky130_fd_sc_hd__dfrtp_2 U634,29
6,649,sky130_fd_sc_hd__dfrtp_2 U635,29
7,650,sky130_fd_sc_hd__dfrtp_2 U636,29
8,651,sky130_fd_sc_hd__dfrtp_2 U637,36
9,652,sky130_fd_sc_hd__dfrtp_2 U638,36
10,653,sky130_fd_sc_hd__dfrtp_2 U639,6
11,655,sky130_fd_sc_hd__dfrtp_2 U640,6
12,656,sky130_fd_sc_hd__dfrtp_2 U641,6
13,657,sky130_fd_sc_hd__dfrtp_2 U642,6
14,658,sky130_fd_sc_hd__dfrtp_2 U643,6
15,659,sky130_fd_sc_hd__dfrtp_2 U644,6
16,660,sky130_fd_sc_hd__dfrtp_2 U645,6
17,661,sky130_fd_sc_hd__dfrtp_2 U646,4
18,662,sky130_fd_sc_hd__dfrtp_2 U647,26
19,663,sky130_fd_sc_hd__dfrtp_2 U648,25
20,664,sky130_fd_sc_hd__dfrtp_2 U649,24
21,666,sky130_fd_sc_hd__dfrtp_2 U650,23
22,667,sky130_fd_sc_hd__dfrtp_2 U651,22
23,668,sky130_fd_sc_hd__dfrtp_2 U652,21
24,669,sky130_fd_sc_hd__dfrtp_2 U653,20
25,670,sky130_fd_sc_hd__dfrtp_2 U654,19
26,671,sky130_fd_sc_hd__dfrtp_2 U655,18
27,672,sky130_fd_sc_hd__dfrtp_2 U656,17
28,673,sky130_fd_sc_hd__dfrtp_2 U657,16
29,674,sky130_fd_sc_hd__dfrtp_2 U658,15
30,675,sky130_fd_sc_hd__dfrtp_2 U659,14
31,677,sky130_fd_sc_hd__dfrtp_2 U660,13
32,678,sky130_fd_sc_hd__dfrtp_2 U661,12
33,679,sky130_fd_sc_hd__dfrtp_2 U662,11
34,680,sky130_fd_sc_hd__dfrtp_2 U663,71
35,681,sky130_fd_sc_hd__dfrtp_2 U664,6
36,682,sky130_fd_sc_hd__dfrtp_2 U665,6
37,683,sky130_fd_sc_hd__dfrtp_2 U666,6
38,684,sky130_fd_sc_hd__dfrtp_2 U667,6
39,685,sky130_fd_sc_hd__dfrtp_2 U668,6
40,686,sky130_fd_sc_hd__dfrtp_2 U669,6
41,688,sky130_fd_sc_hd__dfrtp_2 U670,6
42,689,sky130_fd_sc_hd__dfrtp_2 U671,4
43,690,sky130_fd_sc_hd__dfrtp_2 U672,10
44,691,sky130_fd_sc_hd__dfrtp_2 U673,15
45,692,sky130_fd_sc_hd__dfrtp_2 U674,15
46,693,sky130_fd_sc_hd__dfrtp_2 U675,16
47,694,sky130_fd_sc_hd__dfrtp_2 U676,15
48,695,sky130_fd_sc_hd__dfrtp_2 U677,14
49,696,sky130_fd_sc_hd__dfrtp_2 U678,13
50,697,sky130_fd_sc_hd__dfrtp_2 U679,12
51,699,sky130_fd_sc_hd__dfrtp_2 U680,11
52,700,sky130_fd_sc_hd__dfrtp_2 U681,10
53,701,sky130_fd_sc_hd__dfrtp_2 U682,9
54,702,sky130_fd_sc_hd__dfrtp_2 U683,3
55,703,sky130_fd_sc_hd__dfrtp_2 U684,3
56,704,sky130_fd_sc_hd__dfrtp_2 U685,3
57,705,sky130_fd_sc_hd__dfrtp_2 U686,3
58,706,sky130_fd_sc_hd__dfrtp_2 U687,3
59,707,sky130_fd_sc_hd__dfrtp_2 U688,3
60,708,sky130_fd_sc_hd__dfrtp_2 U689,3
61,710,sky130_fd_sc_hd__dfrtp_2 U690,62
62,711,sky130_fd_sc_hd__dfrtp_2 U691,61
63,712,sky130_fd_sc_hd__dfrtp_2 U692,60
64,713,sky130_fd_sc_hd__dfrtp_2 U693,44
65,714,sky130_fd_sc_hd__dfrtp_2 U694,2
66,715,sky130_fd_sc_hd__dfrtp_2 U695,37
67,716,sky130_fd_sc_hd__dfrtp_2 U696,37
68,717,sky130_fd_sc_hd__dfrtp_2 U697,37
69,718,sky130_fd_sc_hd__dfrtp_2 U698,21
70,719,sky130_fd_sc_hd__dfrtp_2 U699,37
71,722,sky130_fd_sc_hd__dfrtp_2 U700,37
72,723,sky130_fd_sc_hd__dfrtp_2 U701,37
73,724,sky130_fd_sc_hd__dfrtp_2 U702,37
74,725,sky130_fd_sc_hd__dfrtp_2 U703,37
75,726,sky130_fd_sc_hd__dfrtp_2 U704,37
76,727,sky130_fd_sc_hd__dfrtp_2 U705,37
77,728,sky130_fd_sc_hd__dfrtp_2 U706,37
78,729,sky130_fd_sc_hd__dfrtp_2 U707,29
79,730,sky130_fd_sc_hd__dfrtp_2 U708,29
80,731,sky130_fd_sc_hd__dfrtp_2 U709,31
81,733,sky130_fd_sc_hd__dfrtp_2 U710,31
