,index,name of standard cell,number of fanout
0,234,sky130_fd_sc_hd__dfxtp_2 U1111,29
1,235,sky130_fd_sc_hd__dfxtp_2 U1112,28
2,236,sky130_fd_sc_hd__dfxtp_2 U1113,27
3,237,sky130_fd_sc_hd__dfxtp_2 U1114,26
4,238,sky130_fd_sc_hd__dfxtp_2 U1115,25
5,239,sky130_fd_sc_hd__dfxtp_2 U1116,24
6,240,sky130_fd_sc_hd__dfxtp_2 U1117,23
7,241,sky130_fd_sc_hd__dfxtp_2 U1118,22
8,242,sky130_fd_sc_hd__dfxtp_2 U1119,21
9,244,sky130_fd_sc_hd__dfxtp_2 U1120,20
10,245,sky130_fd_sc_hd__dfxtp_2 U1121,19
11,246,sky130_fd_sc_hd__dfxtp_2 U1122,18
12,247,sky130_fd_sc_hd__dfxtp_2 U1123,17
13,248,sky130_fd_sc_hd__dfxtp_2 U1124,16
14,249,sky130_fd_sc_hd__dfxtp_2 U1125,15
15,250,sky130_fd_sc_hd__dfxtp_2 U1126,14
16,251,sky130_fd_sc_hd__dfxtp_2 U1127,13
17,252,sky130_fd_sc_hd__dfxtp_2 U1128,12
18,253,sky130_fd_sc_hd__dfxtp_2 U1129,11
19,255,sky130_fd_sc_hd__dfxtp_2 U1130,10
20,256,sky130_fd_sc_hd__dfxtp_2 U1131,9
21,257,sky130_fd_sc_hd__dfxtp_2 U1132,8
22,258,sky130_fd_sc_hd__dfxtp_2 U1133,7
23,259,sky130_fd_sc_hd__dfxtp_2 U1134,6
24,260,sky130_fd_sc_hd__dfxtp_2 U1135,5
25,261,sky130_fd_sc_hd__dfxtp_2 U1136,4
26,262,sky130_fd_sc_hd__dfxtp_2 U1137,3
27,263,sky130_fd_sc_hd__dfxtp_2 U1138,2
28,264,sky130_fd_sc_hd__dfxtp_2 U1139,1
29,266,sky130_fd_sc_hd__dfxtp_2 U1140,36
30,267,sky130_fd_sc_hd__dfxtp_2 U1141,37
31,268,sky130_fd_sc_hd__dfxtp_2 U1142,37
32,269,sky130_fd_sc_hd__dfxtp_2 U1143,37
33,270,sky130_fd_sc_hd__dfxtp_2 U1144,37
34,271,sky130_fd_sc_hd__dfxtp_2 U1145,37
35,272,sky130_fd_sc_hd__dfxtp_2 U1146,37
36,273,sky130_fd_sc_hd__dfxtp_2 U1147,37
37,274,sky130_fd_sc_hd__dfxtp_2 U1148,37
38,275,sky130_fd_sc_hd__dfxtp_2 U1149,37
39,277,sky130_fd_sc_hd__dfxtp_2 U1150,37
40,278,sky130_fd_sc_hd__dfxtp_2 U1151,37
41,279,sky130_fd_sc_hd__dfxtp_2 U1152,37
42,280,sky130_fd_sc_hd__dfxtp_2 U1153,37
43,281,sky130_fd_sc_hd__dfxtp_2 U1154,37
44,282,sky130_fd_sc_hd__dfxtp_2 U1155,37
45,283,sky130_fd_sc_hd__dfxtp_2 U1156,37
46,284,sky130_fd_sc_hd__dfxtp_2 U1157,37
47,285,sky130_fd_sc_hd__dfxtp_2 U1158,37
48,286,sky130_fd_sc_hd__dfxtp_2 U1159,37
49,288,sky130_fd_sc_hd__dfxtp_2 U1160,37
50,289,sky130_fd_sc_hd__dfxtp_2 U1161,37
51,290,sky130_fd_sc_hd__dfxtp_2 U1162,37
52,291,sky130_fd_sc_hd__dfxtp_2 U1163,37
53,292,sky130_fd_sc_hd__dfxtp_2 U1164,37
54,293,sky130_fd_sc_hd__dfxtp_2 U1165,37
55,294,sky130_fd_sc_hd__dfxtp_2 U1166,37
56,295,sky130_fd_sc_hd__dfxtp_2 U1167,37
57,296,sky130_fd_sc_hd__dfxtp_2 U1168,37
58,297,sky130_fd_sc_hd__dfxtp_2 U1169,37
59,299,sky130_fd_sc_hd__dfxtp_2 U1170,37
60,300,sky130_fd_sc_hd__dfxtp_2 U1171,36
61,301,sky130_fd_sc_hd__dfxtp_2 U1172,1
62,302,sky130_fd_sc_hd__dfxtp_2 U1173,36
63,303,sky130_fd_sc_hd__dfxtp_2 U1174,101
64,304,sky130_fd_sc_hd__dfxtp_2 U1175,3
65,305,sky130_fd_sc_hd__dfxtp_2 U1176,6
66,306,sky130_fd_sc_hd__dfxtp_2 U1177,5
67,307,sky130_fd_sc_hd__dfxtp_2 U1178,4
68,308,sky130_fd_sc_hd__dfxtp_2 U1179,3
69,310,sky130_fd_sc_hd__dfxtp_2 U1180,2
70,311,sky130_fd_sc_hd__dfxtp_2 U1181,2
71,312,sky130_fd_sc_hd__dfxtp_2 U1182,6
72,313,sky130_fd_sc_hd__dfxtp_2 U1183,1
73,314,sky130_fd_sc_hd__dfxtp_2 U1184,141
74,315,sky130_fd_sc_hd__dfxtp_2 U1185,68
75,316,sky130_fd_sc_hd__dfxtp_2 U1186,35
76,317,sky130_fd_sc_hd__dfxtp_2 U1187,0
77,318,sky130_fd_sc_hd__dfxtp_2 U1188,66
78,319,sky130_fd_sc_hd__dfxtp_2 U1189,66
79,321,sky130_fd_sc_hd__dfxtp_2 U1190,65
80,322,sky130_fd_sc_hd__dfxtp_2 U1191,64
81,323,sky130_fd_sc_hd__dfxtp_2 U1192,63
82,324,sky130_fd_sc_hd__dfxtp_2 U1193,62
83,325,sky130_fd_sc_hd__dfxtp_2 U1194,61
84,326,sky130_fd_sc_hd__dfxtp_2 U1195,60
85,327,sky130_fd_sc_hd__dfxtp_2 U1196,59
86,328,sky130_fd_sc_hd__dfxtp_2 U1197,58
87,329,sky130_fd_sc_hd__dfxtp_2 U1198,57
88,330,sky130_fd_sc_hd__dfxtp_2 U1199,56
89,333,sky130_fd_sc_hd__dfxtp_2 U1200,55
90,334,sky130_fd_sc_hd__dfxtp_2 U1201,54
91,335,sky130_fd_sc_hd__dfxtp_2 U1202,53
92,336,sky130_fd_sc_hd__dfxtp_2 U1203,52
93,337,sky130_fd_sc_hd__dfxtp_2 U1204,51
94,338,sky130_fd_sc_hd__dfxtp_2 U1205,50
95,339,sky130_fd_sc_hd__dfxtp_2 U1206,49
96,340,sky130_fd_sc_hd__dfxtp_2 U1207,48
97,341,sky130_fd_sc_hd__dfxtp_2 U1208,47
98,342,sky130_fd_sc_hd__dfxtp_2 U1209,46
99,344,sky130_fd_sc_hd__dfxtp_2 U1210,45
100,345,sky130_fd_sc_hd__dfxtp_2 U1211,44
101,346,sky130_fd_sc_hd__dfxtp_2 U1212,43
102,347,sky130_fd_sc_hd__dfxtp_2 U1213,42
103,348,sky130_fd_sc_hd__dfxtp_2 U1214,41
104,349,sky130_fd_sc_hd__dfxtp_2 U1215,40
105,350,sky130_fd_sc_hd__dfxtp_2 U1216,39
106,351,sky130_fd_sc_hd__dfxtp_2 U1217,38
107,352,sky130_fd_sc_hd__dfxtp_2 U1218,37
